,rssi_D1_1F_AP01,rssi_D1_1F_AP02,rssi_D1_1F_AP03,rssi_D1_1F_AP04,rssi_D1_1F_AP05,rssi_D1_1F_AP06,rssi_D1_1F_AP07,rssi_D1_1F_AP08,xr,yr,cur_eirp,floor
76,-80.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
78,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
79,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
80,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
81,-100.0,-87.0,-91.0,-100.0,-100.0,-76.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
82,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
83,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
84,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
85,-80.0,-87.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
86,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
87,-80.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
88,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
89,-79.0,-87.0,-87.0,-100.0,-100.0,-76.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
90,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
91,-100.0,-100.0,-87.0,-100.0,-100.0,-74.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
92,-100.0,-100.0,-86.0,-100.0,-100.0,-74.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
93,-81.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
94,-82.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
95,-100.0,-89.0,-88.0,-100.0,-100.0,-74.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
96,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
97,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
98,-80.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
99,-80.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
101,-100.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
102,-78.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
103,-81.0,-89.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
104,-81.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
105,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
106,-80.0,-89.0,-87.0,-100.0,-100.0,-76.0,-100.0,-87.0,457.0153478,1271.80861,9.0,1
107,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-87.0,457.0153478,1271.80861,9.0,1
108,-100.0,-100.0,-86.0,-100.0,-100.0,-76.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
109,-100.0,-89.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
110,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
111,-100.0,-100.0,-89.0,-100.0,-100.0,-79.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
112,-79.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
113,-79.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
114,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
115,-84.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
116,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
117,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,457.0153478,1271.80861,9.0,1
118,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
119,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
120,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
121,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
122,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
123,-83.0,-100.0,-89.0,-86.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
124,-83.0,-100.0,-89.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
125,-83.0,-100.0,-89.0,-86.0,-41.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
126,-83.0,-100.0,-89.0,-86.0,-41.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
127,-100.0,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
128,-83.0,-100.0,-89.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
129,-100.0,-100.0,-89.0,-86.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
130,-83.0,-100.0,-89.0,-86.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
131,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
132,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
133,-100.0,-100.0,-90.0,-86.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
134,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
135,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,457.0153478,1271.80861,9.0,1
136,-81.0,-100.0,-90.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
137,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
138,-100.0,-100.0,-90.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
139,-82.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
140,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
141,-80.0,-100.0,-91.0,-100.0,-41.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
142,-81.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
143,-81.0,-100.0,-91.0,-100.0,-41.0,-100.0,-100.0,-91.0,457.0153478,1271.80861,9.0,1
144,-100.0,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0,-92.0,457.0153478,1271.80861,9.0,1
145,-81.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,457.0153478,1271.80861,9.0,1
146,-100.0,-100.0,-100.0,-100.0,-41.0,-100.0,-100.0,-92.0,457.0153478,1271.80861,9.0,1
